id,index,start,consentimiento,nombre,edad,sexo,codigo,nombredelestablecimiento,departamento,municipio_guatemala,municipio_solola,municipio_quetzaltenango,municipio_totonicapan,x1_respeto,x2_participacion,x3_conflictos,x4_pertenencia,x334_que_factores_afectan_la_convivencia_en_el_centro_educativo,nota_evaluacion,area
15,1015,2025-08-28 09:30:00,Doy mi consentimiento para participar en esta encuesta,Andrés Ortiz,29,M,00-08-0077-43,Centro educativo 07,Totonicapán,,,,Totonicapán,Poco,Algo,Poco,Algo,Poca participación familiar; Falta de comunicación,66.0,Rural
16,1016,2025-08-29 13:00:00,Doy mi consentimiento para participar en esta encuesta,Patricia Vargas,51,Femenino,00-01-0456-43,Centro educativo 09,Guatemala,Villa Nueva,,,,Algo,Poco,Algo,Algo,Recursos insuficientes,79.0,Urbana
17,1017,2025-08-30 08:40:00,Doy mi consentimiento para participar en esta encuesta,Fernando Reyes,36,Masculino,00-11-0099-41,Centro educativo 04,SOLOLÁ,,Santiago Atitlán,,,Bastante,Bastante,Algo,Bastante,Conflictos entre estudiantes,82.0,
18,1018,2025-08-31 15:20:00,Doy mi consentimiento para participar en esta encuesta,Lucía Herrera,38 años,Femenino,00-09-0150-42,Centro educativo 06,Quetzaltenango,,,Coatepeque,,Algo,Algo,Bastante,Algo,Falta de comunicación,77.0,Rural
19,1019,2025-09-01 09:05:00,Doy mi consentimiento para participar en esta encuesta,Ricardo Mendoza,44,Masculino,00-08-0210-40,Centro educativo 08,Totonicapán,,,,Momostenango,Poco,Poco,Algo,Poco,Otra,68.0,Urbanaa
20,1020,2025-09-01 16:00:00,Doy mi consentimiento para participar en esta encuesta,Gabriela Aguilar,31,F,00-01-0001-43,Centro educativo 01,Guatemala,Amatitlán,,,,Bastante,Algo,Bastante,Bastante,Recursos insuficientes,150.0,Urbana
21,1021,2025-09-02 10:45:00,Doy mi consentimiento para participar en esta encuesta,Roberto Silva,27,Masculino,00-11-0245-43,Centro educativo 03,Sololá,,Sololá,,,Algo,,Algo,Algo,Conflictos entre estudiantes,72.0,Urbana
22,1022,2025-09-02 11:50:00,Doy mi consentimiento para participar en esta encuesta,Daniela Romero,49,Femenino,00-01-0123-45,Centro educativo 02,Guatemala,,,,,Algo,Algo,Poco,Algo,Falta de comunicación,70.0,Urbana
23,1023,2025-09-03 09:00:00,Doy mi consentimiento para participar en esta encuesta,Diego Navarro,55,Masculino,00-09-0301-44,Centro educativo 05,Quetzaltenango,,,Quetzaltenango,,Poco,Poco,Poco,Algo,Poca participación familiar,63.0,Urbana
24,1024,2025-09-03 14:15:00,Doy mi consentimiento para participar en esta encuesta,Verónica Cruz,33 años,Femenino,00-08-0077-43,Centro educativo 07,Totonicapan,,,,San Cristóbal Totonicapán,Bastante,Bastante,Bastante,Mucho,Falta de comunicación; Conflictos entre estudiantes,89.0,Rural
25,1025,2025-09-04 10:30:00,Doy mi consentimiento para participar en esta encuesta,Alberto Guerrero,40,Masculino,00-01-0456-43,Centro educativo 09,Guatemala,Chinautla,,,,Algo,Algo,Algo,Poco,Otra,-5.0,Urbana
26,1026,2025-09-04 11:00:00,Doy mi consentimiento para participar en esta encuesta,Mónica Peña,46,Femenino,00-11-0099-41,Centro educativo 04,Sololá,,San Pedro La Laguna,,,Algo,Bastante,Algo,Bastante,Recursos insuficientes,80.0,Rural
27,1027,2025-09-05 08:20:00,Doy mi consentimiento para participar en esta encuesta,Raúl Cabrera,39,Masculino,00-09-0150-42,Centro educativo 06,QUETZALTENANGO,,,Olintepeque,,Bastante,Algo,Bastante,Algo,Conflictos entre estudiantes,85.0,Urbana
28,1028,2025-09-05 09:50:00,Doy mi consentimiento para participar en esta encuesta,Beatriz Rojas,30,Femenino,00-08-0210-40,Centro educativo 08,Totonicapán,,,,Momostenango,Algo,Algo,Poco,Algo,Falta de comunicación,74.0,Rural
29,1029,2025-09-06 13:40:00,Doy mi consentimiento para participar en esta encuesta,Sergio Medina,43,M,00-01-0001-43,Centro educativo 01,guatemala,Guatemala,,,,Poco,Poco,Algo,Poco,Poca participación familiar,67.0,Urbana
30,1030,2025-09-06 15:10:00,Doy mi consentimiento para participar en esta encuesta,Claudia Vega,35,Femenino,00-09-0301-44,Centro educativo 05,Quetzaltenango,,,Quetzaltenango,,Mucho,Bastante,Mucho,Bastante,Recursos insuficientes; Falta de comunicación,92.0,Urbana
